cluster_index	bone_name	parent_name	x	y	z	weight_count
0	c_head_null	c_head	-5.0247117590478804e-14	172.77520423281996	3.5448379185705399	0
1	l_eye_null	l_eye	3.3722142025424815	162.53199865684408	12.221619904850494	0
2	l_eye	c_head	3.2079999446868475	162.53199875521719	10.533004130917764	0
3	r_eye_null	r_eye	-3.3717575721732946	162.53199865686781	12.22121274426871	0
4	r_eye	c_head	-3.2078053951263894	162.53199875523774	10.532651271420697	0
5	c_tongue4	c_tongue3	-3.5203181457064046e-07	155.17147404938876	11.303389162146964	0
6	c_tongue3	c_tongue2	-2.9977891579946107e-07	155.6086399229786	10.316996448379864	0
7	c_tongue2	c_tongue1	-1.9537691998272152e-07	155.85361229184696	8.4933023358711051	0
8	c_tongue1	c_tongue0	-6.4889190724487801e-08	155.08833680253653	6.464774106794744	0
9	c_tongue0	c_jaw	-6.1443847673900025e-14	154.60102778468993	5.4810155440385513	0
10	c_jaw_null	c_jaw	-2.1709045193792751e-14	151.20126565159353	13.313736102510589	0
11	c_teeth	c_jaw	-6.1517111361041929e-14	154.60102419198961	7.8091774989181095	0
12	c_jaw	c_head	-3.8049895362659666e-14	155.49833613702737	5.4341873263542322	1693
13	c_head	c_neck	-3.8864378371736141e-14	153.69890838015885	3.5448368072494736	5739
14	c_neck_twist0_proc	c_neck	-3.3216860393304212e-14	144.19107865008894	0.68278750681345723	0
15	c_neck_twist1_proc	c_neck	-3.6040619382520179e-14	148.94499351512391	2.1138121570314485	932
16	c_neck	c_spine3	-3.3216860393304212e-14	144.19107865008894	0.68278750681345723	0
17	l_uparm_twist4_proc	l_uparm	34.789700445482552	122.92299722450744	-1.8524444511254958	319
18	l_uparm_twist3_proc	l_uparm	30.488801242004541	127.6772473418557	-2.1933270163162737	337
19	l_uparm_twist2_proc	l_uparm	26.187901398572158	132.43149816422743	-2.5342096353447507	399
20	l_uparm_twist1_proc	l_uparm	21.887001875116958	137.18574863408742	-2.875092227454378	354
21	l_uparm_twist0_proc	l_uparm	17.586102351661761	141.9399991039474	-3.2159748195640052	490
22	l_lowarm_twist4_proc	l_lowarm	50.147069566424449	113.64967392763869	10.177377775197495	435
23	l_lowarm_twist3_proc	l_lowarm	46.307726253586729	115.96800361815971	7.1699226629224757	289
24	l_lowarm_twist2_proc	l_lowarm	42.468386372014848	118.28633354020984	4.1624667734588829	255
25	l_lowarm_twist1_proc	l_lowarm	38.629042814558922	120.60466337843998	1.1550112311496092	362
26	l_thumb_null	l_thumb3	52.324708024745057	106.63031876711221	25.394096572081491	185
27	l_thumb3	l_thumb2	52.743581931853988	107.25419651219289	22.961491812548083	231
28	l_thumb2	l_thumb1	52.731338901277816	108.24143088682111	19.72962694445939	316
29	l_thumb1	l_thumb0	52.917311526568881	109.84516813731763	16.907511706074239	424
30	l_thumb0	l_wrist	53.119199315290132	110.48327612678747	14.514071361172526	0
31	l_index_null	l_index3	62.999074873694852	102.97954022419411	24.476833022080942	185
32	l_index3	l_index2	61.475504194030535	104.02716278943204	23.434454360521556	242
33	l_index2	l_index1	60.008151417629009	105.44161016249856	22.110488563735405	286
34	l_index1	l_wrist	57.723643540469311	107.61108278452994	19.998803487826351	351
35	l_middle_null	l_middle3	65.000928520148065	101.67754832887435	22.821424157182541	184
36	l_middle3	l_middle2	63.252037650207349	102.79652709733581	21.723118581452368	252
37	l_middle2	l_middle1	61.550387010018376	104.47567499530764	20.353942488808659	302
